Injury Severity,Injury Severity Scale,Date,Time,Speed Limit,Weather,Driver At Fault,Surface Condition,Light,Traffic Control,Driver At Fault,Latitude,Longitude
SUSPECTED MINOR INJURY,2,07/23/2023,01:10:00 AM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.06901297,-77.07533162
POSSIBLE INJURY,1,07/25/2023,05:59:00 PM,35,,No,DRY,DAYLIGHT,NO CONTROLS,No,39.16542667,-77.156555
POSSIBLE INJURY,1,07/18/2023,04:20:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.03675667,-77.05116667
SUSPECTED MINOR INJURY,2,07/18/2023,08:10:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.05831167,-77.0501
SUSPECTED MINOR INJURY,2,07/25/2023,09:57:00 PM,35,CLEAR,Yes,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.1190664,-77.1719867
POSSIBLE INJURY,1,07/25/2023,05:20:00 PM,25,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.046731,-77.05193133
POSSIBLE INJURY,1,07/17/2023,08:50:00 AM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.96572667,-77.088115
POSSIBLE INJURY,1,07/23/2023,06:39:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.18207358,-77.2602143
POSSIBLE INJURY,1,07/13/2023,06:25:00 PM,35,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.198133,-77.2450765
POSSIBLE INJURY,1,07/21/2023,02:26:00 PM,50,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.09322594,-77.12211346
POSSIBLE INJURY,1,07/20/2023,07:30:00 AM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.0189255,-77.015009
POSSIBLE INJURY,1,07/18/2023,04:20:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.03675667,-77.05116667
SUSPECTED MINOR INJURY,2,07/20/2023,04:51:00 PM,25,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.11721722,-77.16898412
POSSIBLE INJURY,1,07/13/2023,12:26:00 AM,55,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.0464,-76.986862
SUSPECTED MINOR INJURY,2,07/27/2023,04:14:00 PM,25,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,38.97718617,-77.08832426
SUSPECTED MINOR INJURY,2,07/23/2023,12:13:00 PM,25,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.07683,-77.13133667
SUSPECTED MINOR INJURY,2,07/24/2023,06:56:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.09056891,-77.12841149
POSSIBLE INJURY,1,07/22/2023,03:39:00 PM,45,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.10301167,-77.20669667
POSSIBLE INJURY,1,07/25/2023,05:32:00 PM,30,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.15504558,-77.20079625
POSSIBLE INJURY,1,07/25/2023,10:02:00 PM,35,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.09338467,-77.07892217
POSSIBLE INJURY,1,06/19/2023,10:43:00 PM,30,RAINING,No,WET,DARK NO LIGHTS,NO CONTROLS,No,39.12459167,-77.37414333
POSSIBLE INJURY,1,07/23/2023,05:03:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.03069833,-76.98424667
POSSIBLE INJURY,1,07/11/2023,11:40:00 AM,30,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.28805483,-77.20661832
POSSIBLE INJURY,1,07/26/2023,12:16:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.171037,-77.26362467
POSSIBLE INJURY,1,07/03/2023,12:00:00 AM,35,CLEAR,Unknown,DRY,DARK LIGHTS ON,,Unknown,38.98109532,-76.98930911
SUSPECTED MINOR INJURY,2,07/23/2023,06:39:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.18207358,-77.2602143
POSSIBLE INJURY,1,07/20/2023,02:34:00 PM,35,CLOUDY,No,DRY,DAYLIGHT,NO CONTROLS,No,39.11270475,-77.08921363
POSSIBLE INJURY,1,07/25/2023,12:51:00 PM,45,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.0851605,-77.0787055
POSSIBLE INJURY,1,07/24/2023,02:58:00 PM,0,CLEAR,Yes,,DAYLIGHT,NO CONTROLS,Yes,39.18260333,-77.262615
SUSPECTED MINOR INJURY,2,07/23/2023,08:10:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.087395,-77.07942167
POSSIBLE INJURY,1,07/25/2023,03:20:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.08383985,-77.15311808
POSSIBLE INJURY,1,07/18/2023,08:10:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.05831167,-77.0501
POSSIBLE INJURY,1,05/17/2019,05:07:00 PM,25,,Yes,DRY,DAYLIGHT,,Yes,38.9977444,-77.03217719
SUSPECTED MINOR INJURY,2,07/18/2023,04:01:00 AM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.01946352,-77.04418635
SUSPECTED MINOR INJURY,2,07/25/2023,12:20:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.00754667,-77.02049667
POSSIBLE INJURY,1,08/02/2023,10:05:00 AM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.07959817,-77.13663148
SUSPECTED MINOR INJURY,2,07/31/2023,07:23:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.14825,-77.23786167
SUSPECTED MINOR INJURY,2,04/23/2023,04:57:00 AM,50,CLEAR,Yes,DRY,DARK NO LIGHTS,NO CONTROLS,Yes,39.08455,-76.94767
SUSPECTED MINOR INJURY,2,08/01/2023,07:23:00 AM,35,CLEAR,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.03120133,-77.12646267
POSSIBLE INJURY,1,07/29/2023,03:07:00 PM,25,CLEAR,No,DRY,DAYLIGHT,,No,39.08129967,-76.9458305
POSSIBLE INJURY,1,07/18/2023,02:45:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.05530833,-77.083595
POSSIBLE INJURY,1,08/02/2023,08:04:00 AM,40,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,39.25462167,-77.14320667
POSSIBLE INJURY,1,08/01/2023,02:48:00 PM,25,CLOUDY,No,DRY,DAYLIGHT,STOP SIGN,No,39.06521833,-77.06462
SUSPECTED MINOR INJURY,2,07/16/2023,05:16:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.059277,-77.0476585
SUSPECTED MINOR INJURY,2,07/27/2023,02:12:00 PM,30,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.09786033,-77.09897683
SUSPECTED MINOR INJURY,2,07/30/2023,03:20:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.14408643,-77.22481667
POSSIBLE INJURY,1,07/31/2023,02:04:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.19832,-77.24472
POSSIBLE INJURY,1,07/23/2023,03:07:00 PM,45,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.0774,-77.0017315
POSSIBLE INJURY,1,07/30/2023,03:20:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.14408643,-77.22481667
POSSIBLE INJURY,1,07/27/2023,04:40:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.1401035,-77.20478767
POSSIBLE INJURY,1,07/31/2023,02:04:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.19832,-77.24472
POSSIBLE INJURY,1,07/28/2023,08:22:00 PM,35,RAINING,Unknown,WET,DARK NO LIGHTS,NO CONTROLS,Unknown,39.07188,-76.9602975
POSSIBLE INJURY,1,05/03/2023,11:30:00 AM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.01667167,-77.11965333
POSSIBLE INJURY,1,07/22/2023,12:37:00 PM,15,CLEAR,Yes,,DAYLIGHT,NO CONTROLS,Yes,39.04483184,-77.04824884
SUSPECTED MINOR INJURY,2,07/29/2023,09:30:00 PM,35,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.16927627,-77.28295688
SUSPECTED MINOR INJURY,2,07/25/2023,03:15:00 PM,45,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.12901825,-77.2302291
SUSPECTED MINOR INJURY,2,07/17/2023,04:51:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.12125467,-77.0247235
POSSIBLE INJURY,1,07/31/2023,09:47:00 PM,25,,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.142305,-77.19340167
SUSPECTED MINOR INJURY,2,07/16/2023,05:16:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.059277,-77.0476585
SUSPECTED MINOR INJURY,2,07/27/2023,01:45:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,38.99264667,-77.06334167
POSSIBLE INJURY,1,07/13/2023,04:33:00 PM,35,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.0100565,-77.114629
POSSIBLE INJURY,1,07/29/2023,11:50:00 AM,20,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.18022333,-77.23849333
SUSPECTED MINOR INJURY,2,08/02/2023,03:17:00 PM,40,CLOUDY,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.25913167,-77.224015
SUSPECTED MINOR INJURY,2,07/31/2023,07:23:00 AM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.14825,-77.23786167
POSSIBLE INJURY,1,08/01/2023,10:58:00 AM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.19272417,-77.24295417
POSSIBLE INJURY,1,07/28/2023,07:35:00 AM,35,CLEAR,No,,DAYLIGHT,TRAFFIC SIGNAL,No,39.14110333,-77.152215
POSSIBLE INJURY,1,07/27/2023,01:45:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.99264667,-77.06334167
POSSIBLE INJURY,1,07/28/2023,10:00:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.05082724,-77.12907578
POSSIBLE INJURY,1,07/21/2023,08:45:00 PM,35,CLEAR,Unknown,,DARK LIGHTS ON,TRAFFIC SIGNAL,Unknown,38.99372673,-77.00914403
POSSIBLE INJURY,1,07/31/2023,04:10:00 PM,25,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.12853942,-77.18004961
POSSIBLE INJURY,1,07/24/2023,08:01:00 PM,35,,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.0160165,-77.04268017
POSSIBLE INJURY,1,07/18/2023,03:34:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.11412167,-77.01493767
POSSIBLE INJURY,1,07/29/2023,01:33:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.10089665,-77.18517879
POSSIBLE INJURY,1,07/20/2023,06:45:00 PM,30,CLEAR,Yes,,DAYLIGHT,NO CONTROLS,Yes,39.1473355,-77.27187267
POSSIBLE INJURY,1,08/01/2023,07:23:00 AM,35,CLEAR,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.03120133,-77.12646267
SUSPECTED MINOR INJURY,2,07/27/2023,08:13:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.099987,-77.04151417
SUSPECTED SERIOUS INJURY,3,07/21/2023,09:45:00 PM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.0462435,-77.112434
POSSIBLE INJURY,1,07/30/2023,05:52:00 PM,25,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.04895705,-77.02539291
POSSIBLE INJURY,1,08/01/2023,02:46:00 PM,25,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.03844,-77.22734167
SUSPECTED MINOR INJURY,2,07/29/2023,05:55:00 PM,45,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,39.10445833,-77.22004167
POSSIBLE INJURY,1,07/26/2023,01:21:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.10038833,-77.21351833
POSSIBLE INJURY,1,07/31/2023,10:40:00 AM,40,CLEAR,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.09058991,-77.12834758
POSSIBLE INJURY,1,07/27/2023,06:45:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.0260967,-77.14819595
SUSPECTED MINOR INJURY,2,08/02/2023,11:30:00 AM,45,,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.146325,-77.27473667
SUSPECTED MINOR INJURY,2,08/07/2023,04:52:00 PM,35,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.11893126,-77.02115622
SUSPECTED MINOR INJURY,2,08/02/2023,09:35:00 AM,10,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.02995462,-77.10675302
POSSIBLE INJURY,1,08/08/2023,04:58:00 PM,25,,Yes,DRY,DAYLIGHT,STOP SIGN,Yes,39.12473,-77.24711333
SUSPECTED MINOR INJURY,2,08/02/2023,06:47:00 AM,25,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.05285485,-77.10668741
POSSIBLE INJURY,1,08/03/2023,08:56:00 AM,40,CLEAR,Yes,DRY,DARK -- UNKNOWN LIGHTING,TRAFFIC SIGNAL,Yes,39.00198833,-77.18061167
POSSIBLE INJURY,1,08/04/2023,10:46:00 PM,25,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.14009943,-77.19565158
SUSPECTED MINOR INJURY,2,08/03/2023,01:00:00 AM,30,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.04394333,-77.12789167
POSSIBLE INJURY,1,07/31/2023,12:35:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.11229717,-77.18711017
POSSIBLE INJURY,1,08/08/2023,08:49:00 AM,55,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.01346,-77.04802833
POSSIBLE INJURY,1,08/08/2023,12:38:00 PM,40,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.11752117,-77.16966667
POSSIBLE INJURY,1,08/07/2023,11:10:00 AM,25,CLEAR,No,DRY,DAYLIGHT,,No,38.981205,-77.09403667
POSSIBLE INJURY,1,08/09/2023,05:47:00 PM,25,CLEAR,Yes,,DAYLIGHT,NO CONTROLS,Yes,39.08440583,-76.94118217
POSSIBLE INJURY,1,08/09/2023,09:23:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.02288667,-77.13226167
POSSIBLE INJURY,1,08/08/2023,06:47:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.07580152,-77.00095688
SUSPECTED SERIOUS INJURY,3,08/07/2023,02:51:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.133435,-77.00685167
POSSIBLE INJURY,1,08/03/2023,09:28:00 PM,25,RAINING,No,WET,DARK NO LIGHTS,NO CONTROLS,No,39.04906367,-77.051853
POSSIBLE INJURY,1,08/02/2023,06:27:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.08741667,-77.15017167
POSSIBLE INJURY,1,08/09/2023,01:37:00 PM,45,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.09082052,-77.17911591
SUSPECTED MINOR INJURY,2,08/08/2023,06:07:00 AM,35,,Yes,UNKNOWN,UNKNOWN,,Yes,39.10386558,-77.15614913
SUSPECTED MINOR INJURY,2,07/26/2023,08:28:00 AM,30,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.16727602,-77.2051131
SUSPECTED MINOR INJURY,2,08/08/2023,08:16:00 AM,30,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.09195833,-77.04224
SUSPECTED MINOR INJURY,2,08/09/2023,07:04:00 AM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,38.99272041,-76.99138458
POSSIBLE INJURY,1,08/03/2023,07:43:00 AM,35,CLEAR,No,DRY,DAYLIGHT,,No,39.05706167,-77.15817
SUSPECTED MINOR INJURY,2,08/04/2023,07:50:00 AM,25,CLEAR,No,WET,DAYLIGHT,NO CONTROLS,No,38.95717717,-77.09070617
POSSIBLE INJURY,1,08/03/2023,07:43:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,,Yes,39.05706167,-77.15817
POSSIBLE INJURY,1,08/09/2023,08:53:00 PM,30,CLEAR,Yes,DRY,DARK LIGHTS ON,STOP SIGN,Yes,39.1522787,-77.29605451
POSSIBLE INJURY,1,08/05/2023,02:24:00 AM,35,CLEAR,No,DRY,DARK -- UNKNOWN LIGHTING,NO CONTROLS,No,39.05454071,-77.05029098
SUSPECTED MINOR INJURY,2,07/31/2023,02:24:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.07214717,-77.06525417
SUSPECTED SERIOUS INJURY,3,08/06/2023,07:38:00 PM,35,RAINING,No,WET,DUSK,NO CONTROLS,No,39.00114333,-76.98849167
POSSIBLE INJURY,1,08/02/2023,03:08:00 PM,25,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.01083147,-77.12207309
POSSIBLE INJURY,1,07/25/2023,10:00:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.14006583,-77.22206817
POSSIBLE INJURY,1,07/31/2023,12:35:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.11229717,-77.18711017
POSSIBLE INJURY,1,08/06/2023,09:43:00 AM,40,CLOUDY,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.10332718,-77.19062037
POSSIBLE INJURY,1,08/06/2023,05:22:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.03837533,-77.07558117
POSSIBLE INJURY,1,08/07/2023,04:55:00 PM,30,CLOUDY,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.07544167,-77.11728167
POSSIBLE INJURY,1,08/09/2023,05:26:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.15896942,-77.27528488
POSSIBLE INJURY,1,07/30/2023,05:29:00 AM,40,CLEAR,Unknown,DRY,DAWN,TRAFFIC SIGNAL,Unknown,39.04679417,-76.95209767
SUSPECTED MINOR INJURY,2,08/04/2023,09:00:00 AM,35,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,38.97053952,-77.11622437
POSSIBLE INJURY,1,08/09/2023,09:23:00 AM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.02288667,-77.13226167
POSSIBLE INJURY,1,07/31/2023,08:13:00 PM,40,CLEAR,Unknown,,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.107395,-77.18874667
SUSPECTED MINOR INJURY,2,08/06/2023,03:17:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.01968308,-77.01315456
SUSPECTED SERIOUS INJURY,3,08/07/2023,12:53:00 AM,30,CLEAR,Yes,WET,DARK LIGHTS ON,NO CONTROLS,Yes,39.0045974,-77.05095086
POSSIBLE INJURY,1,07/25/2023,06:00:00 AM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.01964333,-77.01287833
POSSIBLE INJURY,1,08/03/2023,08:34:00 AM,30,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.173255,-77.29568333
SUSPECTED MINOR INJURY,2,07/27/2023,12:14:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.1563408,-77.16535238
POSSIBLE INJURY,1,08/09/2023,08:53:00 PM,30,CLEAR,No,DRY,DARK LIGHTS ON,STOP SIGN,No,39.1522787,-77.29605451
POSSIBLE INJURY,1,07/31/2023,02:09:00 PM,25,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.03969717,-76.99835067
SUSPECTED MINOR INJURY,2,08/10/2023,07:40:00 AM,25,CLOUDY,Yes,,DAYLIGHT,NO CONTROLS,Yes,39.07561398,-77.1132104
POSSIBLE INJURY,1,08/05/2023,08:50:00 AM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.09182083,-77.070141
POSSIBLE INJURY,1,08/08/2023,01:45:00 PM,30,CLOUDY,No,DRY,DAYLIGHT,NO CONTROLS,No,39.15287167,-77.39053433
POSSIBLE INJURY,1,08/08/2023,08:15:00 AM,30,CLOUDY,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.11026633,-77.18790917
POSSIBLE INJURY,1,08/08/2023,08:15:00 AM,30,CLOUDY,No,DRY,DAYLIGHT,NO CONTROLS,No,39.11026633,-77.18790917
POSSIBLE INJURY,1,08/08/2023,05:30:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.12281667,-77.17792667
POSSIBLE INJURY,1,08/07/2023,03:53:00 PM,30,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.14019442,-77.20908365
